step procs value time
1e-05 1 3.141591237661522 2.9806692600250244
1e-05 2 3.1415969135247455 2.2644309997558594
1e-05 3 3.1415956166077965 1.7184178829193115
1e-05 4 3.141596773480199 1.369924783706665
1e-05 5 3.1415954772216086 1.1649138927459717
1e-05 6 3.141599227659849 0.9797074794769287
1e-05 7 3.1415997284140356 0.8530564308166504
1e-05 8 3.1415963033287455 0.7755541801452637
